t=2023-06-20T22:19:18+0000 lvl=info msg="no configuration paths supplied"
t=2023-06-20T22:19:18+0000 lvl=info msg="using configuration at default config path" path=/home/flick/.config/ngrok/ngrok.yml
t=2023-06-20T22:19:18+0000 lvl=info msg="open config file" path=/home/flick/.config/ngrok/ngrok.yml err=nil
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=a5e1426a707d l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=a39c6e48af95 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=0beead876a7b l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=05eed8ca970d l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=58e1f6121f67 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=59ebfb8d477c l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=ef0ed9ce1018 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=f644c8604481 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=912544be7208 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=0612483256ff l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=590e112d9d06 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=faccc713312c l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=7f2920118d73 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=1b9135c842dc l=127.0.0.1:8080 r=185.15.38.11:11504
